,total,male,male_less than high school diploma,male_high_school,male_some_college,male_bachelor_or_more,female,female_less than high school diploma,female_high_school,female_some_college,female_bachelor_or_more
"Census Tract 2510, Cook County, Illinois",8,8,0,0,0,8,0,0,0,0,0
"Census Tract 2511, Cook County, Illinois",37,1,1,0,0,0,36,4,5,16,11
"Census Tract 2512, Cook County, Illinois",139,69,17,0,46,6,70,33,37,0,0
"Census Tract 2513, Cook County, Illinois",41,34,0,1,24,9,7,1,0,6,0
"Census Tract 2514, Cook County, Illinois",131,91,24,9,9,49,40,0,0,0,40
"Census Tract 2515, Cook County, Illinois",38,20,0,0,13,7,18,0,12,0,6
"Census Tract 2516, Cook County, Illinois",73,54,0,7,6,41,19,0,2,0,17
"Census Tract 2517, Cook County, Illinois",24,18,1,10,6,1,6,0,6,0,0
"Census Tract 2518, Cook County, Illinois",37,34,4,3,27,0,3,3,0,0,0
"Census Tract 2519, Cook County, Illinois",81,57,12,13,17,15,24,18,0,0,6
"Census Tract 2520, Cook County, Illinois",86,59,19,15,25,0,27,4,0,0,23
"Census Tract 2521.01, Cook County, Illinois",14,2,0,0,0,2,12,0,10,0,2
"Census Tract 2521.02, Cook County, Illinois",0,0,0,0,0,0,0,0,0,0,0
"Census Tract 2522.01, Cook County, Illinois",98,24,3,3,15,3,74,7,48,8,11
"Census Tract 2522.02, Cook County, Illinois",68,52,13,21,6,12,16,0,0,0,16
"Census Tract 2601, Cook County, Illinois",79,31,0,26,0,5,48,0,43,5,0
"Census Tract 2602, Cook County, Illinois",5,5,0,0,0,5,0,0,0,0,0
"Census Tract 2603, Cook County, Illinois",25,0,0,0,0,0,25,0,14,9,2
"Census Tract 2604, Cook County, Illinois",14,0,0,0,0,0,14,0,14,0,0
"Census Tract 2605, Cook County, Illinois",7,6,0,5,1,0,1,1,0,0,0
"Census Tract 2606, Cook County, Illinois",45,18,0,18,0,0,27,8,0,11,8
"Census Tract 2607, Cook County, Illinois",25,13,0,0,13,0,12,0,12,0,0
"Census Tract 2608, Cook County, Illinois",16,7,0,7,0,0,9,0,9,0,0
"Census Tract 2609, Cook County, Illinois",20,17,3,5,6,3,3,0,3,0,0
"Census Tract 2610, Cook County, Illinois",0,0,0,0,0,0,0,0,0,0,0
"Census Tract 2705, Cook County, Illinois",20,16,0,0,0,16,4,0,0,0,4
"Census Tract 2712, Cook County, Illinois",10,10,0,0,10,0,0,0,0,0,0
"Census Tract 2713, Cook County, Illinois",6,6,0,0,0,6,0,0,0,0,0
"Census Tract 2714, Cook County, Illinois",39,11,0,11,0,0,28,11,0,11,6
"Census Tract 2715, Cook County, Illinois",12,4,0,0,0,4,8,0,0,0,8
"Census Tract 2718, Cook County, Illinois",11,0,0,0,0,0,11,0,0,3,8
"Census Tract 2801, Cook County, Illinois",4422,2130,0,140,248,1742,2292,0,119,185,1988
"Census Tract 2804, Cook County, Illinois",43,33,0,0,16,17,10,0,0,0,10
"Census Tract 2808, Cook County, Illinois",68,23,0,1,5,17,45,0,4,12,29
"Census Tract 2809, Cook County, Illinois",56,42,0,4,17,21,14,0,3,0,11
"Census Tract 2819, Cook County, Illinois",1590,870,29,23,73,745,720,0,15,40,665
"Census Tract 2827, Cook County, Illinois",268,181,9,18,39,115,87,0,13,10,64
"Census Tract 2828, Cook County, Illinois",444,267,0,48,53,166,177,0,8,36,133
"Census Tract 2831, Cook County, Illinois",420,205,0,29,34,142,215,0,56,17,142
"Census Tract 2832, Cook County, Illinois",337,162,0,6,5,151,175,0,5,31,139
"Census Tract 2838, Cook County, Illinois",809,417,9,28,58,322,392,26,10,68,288
"Census Tract 2909, Cook County, Illinois",33,29,0,0,29,0,4,0,4,0,0
"Census Tract 2912, Cook County, Illinois",29,26,0,16,10,0,3,0,0,3,0
"Census Tract 2916, Cook County, Illinois",49,31,0,8,15,8,18,0,10,0,8
"Census Tract 2922, Cook County, Illinois",43,22,0,0,0,22,21,0,0,0,21
"Census Tract 2924, Cook County, Illinois",56,25,1,14,5,5,31,1,11,13,6
"Census Tract 2925, Cook County, Illinois",46,32,11,0,13,8,14,0,6,0,8
"Census Tract 3005, Cook County, Illinois",34,17,0,0,0,17,17,0,0,5,12
"Census Tract 3006, Cook County, Illinois",66,35,3,15,6,11,31,6,5,6,14
"Census Tract 3007, Cook County, Illinois",25,8,0,0,0,8,17,0,0,0,17
"Census Tract 3008, Cook County, Illinois",24,15,11,0,4,0,9,9,0,0,0
"Census Tract 3009, Cook County, Illinois",49,12,1,0,0,11,37,0,11,22,4
"Census Tract 3011, Cook County, Illinois",63,25,0,9,0,16,38,9,0,11,18
"Census Tract 3012, Cook County, Illinois",167,60,21,0,25,14,107,23,17,0,67
"Census Tract 3016, Cook County, Illinois",51,21,18,0,3,0,30,0,19,0,11
"Census Tract 3017.01, Cook County, Illinois",127,69,9,35,12,13,58,0,36,0,22
"Census Tract 3017.02, Cook County, Illinois",62,21,0,0,21,0,41,0,41,0,0
"Census Tract 3018.01, Cook County, Illinois",60,41,0,0,10,31,19,19,0,0,0
"Census Tract 3018.02, Cook County, Illinois",33,21,0,16,4,1,12,0,0,12,0
"Census Tract 3018.03, Cook County, Illinois",76,60,13,6,41,0,16,0,16,0,0
"Census Tract 3102, Cook County, Illinois",475,267,0,59,26,182,208,0,0,65,143
"Census Tract 3103, Cook County, Illinois",303,207,0,20,23,164,96,0,5,0,91
"Census Tract 3104, Cook County, Illinois",221,133,20,0,23,90,88,0,15,30,43
"Census Tract 3105, Cook County, Illinois",56,27,0,0,11,16,29,0,5,0,24
"Census Tract 3106, Cook County, Illinois",620,371,0,26,59,286,249,26,26,18,179
"Census Tract 3107, Cook County, Illinois",179,133,0,9,34,90,46,0,8,0,38
"Census Tract 3108, Cook County, Illinois",338,175,20,16,20,119,163,0,40,71,52
"Census Tract 3109, Cook County, Illinois",442,188,22,15,39,112,254,9,73,15,157
"Census Tract 3201, Cook County, Illinois",6307,3480,0,221,637,2622,2827,82,172,377,2196
"Census Tract 3204, Cook County, Illinois",626,362,0,5,26,331,264,0,15,49,200
"Census Tract 3206, Cook County, Illinois",2257,1020,0,0,33,987,1237,19,35,84,1099
"Census Tract 3301, Cook County, Illinois",7155,3606,169,181,698,2558,3549,12,387,268,2882
"Census Tract 3302, Cook County, Illinois",1182,596,0,7,104,485,586,0,0,62,524
"Census Tract 3403, Cook County, Illinois",227,118,0,77,24,17,109,9,67,19,14
"Census Tract 3404, Cook County, Illinois",150,54,6,18,2,28,96,0,72,0,24
"Census Tract 3405, Cook County, Illinois",635,326,28,99,122,77,309,28,104,100,77
"Census Tract 3406, Cook County, Illinois",0,0,0,0,0,0,0,0,0,0,0
"Census Tract 3501, Cook County, Illinois",110,65,0,13,0,52,45,0,0,7,38
"Census Tract 3504, Cook County, Illinois",21,0,0,0,0,0,21,11,10,0,0
"Census Tract 3510, Cook County, Illinois",129,58,0,0,41,17,71,0,0,14,57
"Census Tract 3511, Cook County, Illinois",14,7,0,0,0,7,7,0,0,0,7
"Census Tract 3514, Cook County, Illinois",57,48,0,34,0,14,9,0,6,3,0
"Census Tract 3515, Cook County, Illinois",21,11,0,0,0,11,10,0,0,0,10
"Census Tract 3602, Cook County, Illinois",0,0,0,0,0,0,0,0,0,0,0
"Census Tract 3801, Cook County, Illinois",73,30,0,0,0,30,43,19,0,9,15
"Census Tract 3802, Cook County, Illinois",92,44,0,0,0,44,48,0,2,0,46
"Census Tract 3805, Cook County, Illinois",2,0,0,0,0,0,2,2,0,0,0
"Census Tract 3807, Cook County, Illinois",117,24,0,23,1,0,93,7,40,32,14
"Census Tract 3812, Cook County, Illinois",6,0,0,0,0,0,6,0,0,0,6
"Census Tract 3814, Cook County, Illinois",0,0,0,0,0,0,0,0,0,0,0
"Census Tract 3815, Cook County, Illinois",14,0,0,0,0,0,14,0,0,14,0
"Census Tract 3817, Cook County, Illinois",0,0,0,0,0,0,0,0,0,0,0
"Census Tract 3818, Cook County, Illinois",61,37,0,0,0,37,24,0,0,0,24
"Census Tract 3819, Cook County, Illinois",60,41,0,0,31,10,19,0,13,0,6
"Census Tract 3901, Cook County, Illinois",23,11,0,0,0,11,12,0,0,0,12
"Census Tract 3902, Cook County, Illinois",90,30,0,1,6,23,60,0,0,0,60
"Census Tract 3903, Cook County, Illinois",220,100,34,2,15,49,120,42,7,19,52
"Census Tract 3904, Cook County, Illinois",115,88,10,18,19,41,27,0,0,0,27
"Census Tract 3905, Cook County, Illinois",247,115,0,0,0,115,132,0,5,3,124
"Census Tract 3906, Cook County, Illinois",581,278,0,0,10,268,303,0,0,11,292
"Census Tract 3907, Cook County, Illinois",1092,556,0,0,1,555,536,24,14,32,466
"Census Tract 4003, Cook County, Illinois",7,7,0,0,7,0,0,0,0,0,0
"Census Tract 4004, Cook County, Illinois",0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4005, Cook County, Illinois",0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4008, Cook County, Illinois",0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4101, Cook County, Illinois",334,142,0,0,7,135,192,0,0,29,163
"Census Tract 4102, Cook County, Illinois",261,134,0,0,19,115,127,0,0,4,123
"Census Tract 4105, Cook County, Illinois",407,220,0,9,3,208,187,0,0,16,171
"Census Tract 4106, Cook County, Illinois",776,355,10,0,38,307,421,10,0,59,352
"Census Tract 4107, Cook County, Illinois",758,463,0,32,72,359,295,6,7,65,217
"Census Tract 4108, Cook County, Illinois",593,320,3,0,20,297,273,0,8,18,247
"Census Tract 4109, Cook County, Illinois",1054,482,0,19,51,412,572,0,6,24,542
"Census Tract 4110, Cook County, Illinois",1316,608,15,2,86,505,708,40,77,16,575
"Census Tract 4111, Cook County, Illinois",1028,507,0,0,7,500,521,0,0,58,463
"Census Tract 4112, Cook County, Illinois",823,392,0,13,0,379,431,0,14,19,398
"Census Tract 4201, Cook County, Illinois",29,9,0,5,0,4,20,0,0,0,20
"Census Tract 4202, Cook County, Illinois",149,47,0,0,11,36,102,9,3,0,90
"Census Tract 4203, Cook County, Illinois",150,107,0,0,0,107,43,0,0,2,41
"Census Tract 4204, Cook County, Illinois",254,142,0,0,33,109,112,0,0,10,102
"Census Tract 4205, Cook County, Illinois",11,0,0,0,0,0,11,11,0,0,0
"Census Tract 4206, Cook County, Illinois",60,15,0,0,15,0,45,0,24,13,8
"Census Tract 4207, Cook County, Illinois",52,15,0,0,7,8,37,2,0,18,17
"Census Tract 4208, Cook County, Illinois",41,19,0,0,0,19,22,0,19,0,3
"Census Tract 4212, Cook County, Illinois",0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4301.01, Cook County, Illinois",28,19,0,9,10,0,9,0,0,9,0
"Census Tract 4301.02, Cook County, Illinois",48,23,1,0,0,22,25,0,1,1,23
"Census Tract 4302, Cook County, Illinois",65,44,0,0,0,44,21,0,0,0,21
"Census Tract 4303, Cook County, Illinois",4,0,0,0,0,0,4,0,4,0,0
"Census Tract 4304, Cook County, Illinois",56,27,6,14,0,7,29,8,6,7,8
"Census Tract 4305, Cook County, Illinois",22,12,1,0,0,11,10,0,0,1,9
"Census Tract 4306, Cook County, Illinois",29,11,0,0,5,6,18,0,13,0,5
"Census Tract 4307, Cook County, Illinois",100,41,12,4,25,0,59,0,43,10,6
"Census Tract 4308, Cook County, Illinois",54,36,0,8,22,6,18,0,0,7,11
"Census Tract 4309, Cook County, Illinois",5,5,0,5,0,0,0,0,0,0,0
"Census Tract 4312, Cook County, Illinois",66,31,0,0,14,17,35,0,3,13,19
"Census Tract 4313.01, Cook County, Illinois",43,33,0,0,33,0,10,0,0,10,0
"Census Tract 4313.02, Cook County, Illinois",3,0,0,0,0,0,3,0,2,1,0
"Census Tract 4314, Cook County, Illinois",249,130,7,32,43,48,119,17,30,35,37
"Census Tract 4401.01, Cook County, Illinois",56,7,0,7,0,0,49,18,8,23,0
"Census Tract 4401.02, Cook County, Illinois",14,14,0,14,0,0,0,0,0,0,0
"Census Tract 4402.01, Cook County, Illinois",0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4402.02, Cook County, Illinois",7,0,0,0,0,0,7,0,7,0,0
"Census Tract 4403, Cook County, Illinois",85,17,0,0,14,3,68,12,56,0,0
"Census Tract 4406, Cook County, Illinois",19,11,0,0,11,0,8,0,8,0,0
"Census Tract 4407, Cook County, Illinois",3,3,0,0,0,3,0,0,0,0,0
"Census Tract 4408, Cook County, Illinois",0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4409, Cook County, Illinois",3,1,0,0,0,1,2,0,0,1,1
"Census Tract 4503, Cook County, Illinois",142,111,0,111,0,0,31,0,31,0,0
"Census Tract 4601, Cook County, Illinois",151,89,42,37,0,10,62,15,36,11,0
"Census Tract 4602, Cook County, Illinois",78,33,13,12,8,0,45,23,0,22,0
"Census Tract 4603.01, Cook County, Illinois",55,21,0,0,13,8,34,0,22,12,0
"Census Tract 4603.02, Cook County, Illinois",31,15,7,0,8,0,16,0,8,8,0
"Census Tract 4604, Cook County, Illinois",47,8,0,0,8,0,39,25,7,0,7
"Census Tract 4605, Cook County, Illinois",105,69,57,12,0,0,36,0,23,13,0
"Census Tract 4606, Cook County, Illinois",127,45,9,25,0,11,82,20,22,32,8
"Census Tract 4607, Cook County, Illinois",61,29,18,4,4,3,32,4,4,24,0
"Census Tract 4610, Cook County, Illinois",65,47,33,14,0,0,18,0,12,0,6
"Census Tract 4701, Cook County, Illinois",0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4801, Cook County, Illinois",51,23,0,0,0,23,28,0,0,6,22
"Census Tract 4802, Cook County, Illinois",0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4803, Cook County, Illinois",10,5,0,4,1,0,5,1,0,0,4
"Census Tract 4804, Cook County, Illinois",98,17,0,0,0,17,81,0,27,23,31
"Census Tract 4805, Cook County, Illinois",103,63,0,28,9,26,40,0,29,0,11
"Census Tract 4903, Cook County, Illinois",12,0,0,0,0,0,12,0,0,12,0
"Census Tract 4904, Cook County, Illinois",0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4905, Cook County, Illinois",0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4906, Cook County, Illinois",6,3,0,0,0,3,3,0,3,0,0
"Census Tract 4907, Cook County, Illinois",18,0,0,0,0,0,18,0,10,0,8
"Census Tract 4908, Cook County, Illinois",18,10,0,0,0,10,8,0,8,0,0
"Census Tract 4909.01, Cook County, Illinois",35,0,0,0,0,0,35,35,0,0,0
"Census Tract 4909.02, Cook County, Illinois",23,23,13,0,0,10,0,0,0,0,0
"Census Tract 4910, Cook County, Illinois",52,52,0,1,42,9,0,0,0,0,0
"Census Tract 4911, Cook County, Illinois",82,10,4,6,0,0,72,12,16,11,33
"Census Tract 4912, Cook County, Illinois",9,5,0,0,0,5,4,0,0,0,4
"Census Tract 4913, Cook County, Illinois",34,24,11,7,6,0,10,0,10,0,0
"Census Tract 4914, Cook County, Illinois",39,15,9,3,0,3,24,12,12,0,0
"Census Tract 5001, Cook County, Illinois",15,0,0,0,0,0,15,0,9,0,6
"Census Tract 5002, Cook County, Illinois",21,16,0,16,0,0,5,0,0,0,5
"Census Tract 5003, Cook County, Illinois",442,258,17,65,55,121,184,32,17,75,60
"Census Tract 5101, Cook County, Illinois",311,157,41,89,19,8,154,36,30,22,66
"Census Tract 5102, Cook County, Illinois",121,34,0,25,0,9,87,11,58,8,10
"Census Tract 5103, Cook County, Illinois",39,26,8,0,0,18,13,2,11,0,0
"Census Tract 5201, Cook County, Illinois",109,35,0,24,5,6,74,13,39,9,13
"Census Tract 5202, Cook County, Illinois",318,127,56,39,18,14,191,19,95,28,49
"Census Tract 5203, Cook County, Illinois",566,232,14,123,57,38,334,61,180,24,69
"Census Tract 5204, Cook County, Illinois",431,177,19,79,25,54,254,38,125,48,43
"Census Tract 5205, Cook County, Illinois",1379,505,38,161,161,145,874,162,342,169,201
"Census Tract 5206, Cook County, Illinois",534,246,48,117,56,25,288,25,181,48,34
"Census Tract 5301, Cook County, Illinois",61,24,0,13,11,0,37,12,25,0,0
"Census Tract 5302, Cook County, Illinois",0,0,0,0,0,0,0,0,0,0,0
"Census Tract 5303, Cook County, Illinois",43,28,0,28,0,0,15,9,6,0,0
"Census Tract 5304, Cook County, Illinois",10,5,0,0,5,0,5,0,5,0,0
"Census Tract 5305.01, Cook County, Illinois",66,30,0,12,0,18,36,0,12,24,0
"Census Tract 5305.02, Cook County, Illinois",8,4,0,4,0,0,4,0,0,4,0
"Census Tract 5305.03, Cook County, Illinois",1,1,0,0,0,1,0,0,0,0,0
"Census Tract 5306, Cook County, Illinois",11,0,0,0,0,0,11,0,11,0,0
"Census Tract 5401.01, Cook County, Illinois",0,0,0,0,0,0,0,0,0,0,0
"Census Tract 5401.02, Cook County, Illinois",52,22,0,22,0,0,30,0,0,30,0
"Census Tract 5501, Cook County, Illinois",2505,1141,173,482,312,174,1364,202,407,531,224
"Census Tract 5502, Cook County, Illinois",976,436,10,185,182,59,540,42,235,174,89
"Census Tract 5601, Cook County, Illinois",255,156,19,87,31,19,99,24,30,44,1
"Census Tract 5602, Cook County, Illinois",71,36,0,32,0,4,35,5,4,26,0
"Census Tract 5603, Cook County, Illinois",793,462,44,144,226,48,331,64,127,106,34
"Census Tract 5604, Cook County, Illinois",367,195,53,88,14,40,172,64,68,28,12
"Census Tract 5607, Cook County, Illinois",1386,614,98,258,163,95,772,185,299,205,83
"Census Tract 5608, Cook County, Illinois",2172,1162,224,366,193,379,1010,154,385,230,241
"Census Tract 5609, Cook County, Illinois",2891,1553,128,635,424,366,1338,110,583,345,300
"Census Tract 5610, Cook County, Illinois",2312,1199,105,324,390,380,1113,92,305,312,404
"Census Tract 5611, Cook County, Illinois",2755,1310,119,404,493,294,1445,135,687,301,322
"Census Tract 5701, Cook County, Illinois",172,71,2,35,16,18,101,31,43,27,0
"Census Tract 5702, Cook County, Illinois",381,168,22,41,82,23,213,61,64,73,15
"Census Tract 5703, Cook County, Illinois",1077,523,93,230,144,56,554,121,278,62,93
"Census Tract 5704, Cook County, Illinois",269,140,24,104,10,2,129,19,44,43,23
"Census Tract 5705, Cook County, Illinois",465,281,34,135,75,37,184,15,85,54,30
"Census Tract 5801, Cook County, Illinois",160,72,11,13,43,5,88,25,48,5,10
"Census Tract 5802, Cook County, Illinois",197,83,28,34,21,0,114,7,45,22,40
"Census Tract 5803, Cook County, Illinois",26,0,0,0,0,0,26,0,6,20,0
"Census Tract 5804, Cook County, Illinois",257,92,28,8,9,47,165,51,83,10,21
"Census Tract 5805.01, Cook County, Illinois",445,152,15,67,40,30,293,53,148,29,63
"Census Tract 5805.02, Cook County, Illinois",417,254,49,94,59,52,163,39,53,63,8
"Census Tract 5806, Cook County, Illinois",250,99,53,30,7,9,151,27,80,22,22
"Census Tract 5807, Cook County, Illinois",340,133,34,33,42,24,207,50,101,39,17
"Census Tract 5808, Cook County, Illinois",102,56,14,13,22,7,46,19,5,22,0
"Census Tract 5905, Cook County, Illinois",277,131,29,15,51,36,146,31,22,66,27
"Census Tract 5906, Cook County, Illinois",606,278,44,110,62,62,328,26,86,159,57
"Census Tract 5907, Cook County, Illinois",372,173,56,52,35,30,199,35,94,47,23
"Census Tract 6004, Cook County, Illinois",810,403,75,143,86,99,407,22,191,131,63
"Census Tract 6006, Cook County, Illinois",408,235,43,72,61,59,173,18,95,0,60
"Census Tract 6007, Cook County, Illinois",625,342,55,134,67,86,283,78,94,89,22
"Census Tract 6009, Cook County, Illinois",883,529,101,81,176,171,354,54,81,55,164
"Census Tract 6103, Cook County, Illinois",315,198,74,80,0,44,117,42,19,9,47
"Census Tract 6104, Cook County, Illinois",51,19,5,0,14,0,32,24,8,0,0
"Census Tract 6108, Cook County, Illinois",764,377,60,136,123,58,387,53,143,145,46
"Census Tract 6110, Cook County, Illinois",28,17,4,0,13,0,11,0,0,0,11
"Census Tract 6111, Cook County, Illinois",56,38,33,0,5,0,18,13,0,0,5
"Census Tract 6112, Cook County, Illinois",112,53,14,7,20,12,59,20,20,5,14
"Census Tract 6113, Cook County, Illinois",191,111,39,17,42,13,80,5,9,40,26
"Census Tract 6114, Cook County, Illinois",135,78,20,42,7,9,57,11,43,0,3
"Census Tract 6115, Cook County, Illinois",139,41,3,13,19,6,98,16,76,0,6
"Census Tract 6116, Cook County, Illinois",0,0,0,0,0,0,0,0,0,0,0
"Census Tract 6117, Cook County, Illinois",0,0,0,0,0,0,0,0,0,0,0
"Census Tract 6118, Cook County, Illinois",37,6,6,0,0,0,31,26,5,0,0
"Census Tract 6119, Cook County, Illinois",48,23,11,12,0,0,25,0,17,0,8
"Census Tract 6120, Cook County, Illinois",5,0,0,0,0,0,5,0,4,1,0
"Census Tract 6121, Cook County, Illinois",59,50,0,13,37,0,9,0,0,0,9
"Census Tract 6201, Cook County, Illinois",601,255,48,54,112,41,346,77,195,31,43
"Census Tract 6202, Cook County, Illinois",582,298,36,66,163,33,284,67,161,49,7
"Census Tract 6203, Cook County, Illinois",1473,628,82,269,145,132,845,217,294,240,94
"Census Tract 6204, Cook County, Illinois",307,155,23,92,28,12,152,8,73,57,14
"Census Tract 6301, Cook County, Illinois",22,5,0,5,0,0,17,0,13,4,0
"Census Tract 6302, Cook County, Illinois",85,38,10,10,13,5,47,9,18,20,0
"Census Tract 6303, Cook County, Illinois",187,29,20,9,0,0,158,0,84,65,9
"Census Tract 6304, Cook County, Illinois",286,195,23,45,47,80,91,45,30,16,0
"Census Tract 6305, Cook County, Illinois",128,50,21,7,14,8,78,19,36,22,1
"Census Tract 6308, Cook County, Illinois",177,97,17,43,28,9,80,22,17,41,0
"Census Tract 6309, Cook County, Illinois",157,84,0,23,52,9,73,0,44,8,21
"Census Tract 6401, Cook County, Illinois",299,115,21,10,67,17,184,11,65,78,30
"Census Tract 6403, Cook County, Illinois",3211,1484,130,599,386,369,1727,317,640,521,249
"Census Tract 6404, Cook County, Illinois",1408,743,117,308,156,162,665,38,300,247,80
"Census Tract 6405, Cook County, Illinois",1596,767,26,303,292,146,829,74,463,96,196
"Census Tract 6406, Cook County, Illinois",1851,800,104,332,200,164,1051,134,420,310,187
"Census Tract 6407, Cook County, Illinois",974,475,85,186,90,114,499,105,137,125,132
"Census Tract 6408, Cook County, Illinois",293,113,22,68,10,13,180,20,90,49,21
"Census Tract 6501, Cook County, Illinois",374,210,48,61,50,51,164,22,83,29,30
"Census Tract 6502, Cook County, Illinois",1398,746,100,297,294,55,652,189,261,156,46
"Census Tract 6503.01, Cook County, Illinois",764,372,19,130,163,60,392,59,169,108,56
"Census Tract 6503.02, Cook County, Illinois",417,211,74,11,50,76,206,17,76,52,61
"Census Tract 6504, Cook County, Illinois",582,248,16,80,95,57,334,47,183,46,58
"Census Tract 6505, Cook County, Illinois",674,336,38,71,144,83,338,15,193,55,75
"Census Tract 6603.01, Cook County, Illinois",5,5,0,0,5,0,0,0,0,0,0
"Census Tract 6603.02, Cook County, Illinois",150,41,0,15,17,9,109,36,40,17,16
"Census Tract 6604, Cook County, Illinois",311,103,35,22,6,40,208,43,88,46,31
"Census Tract 6605, Cook County, Illinois",267,153,26,81,21,25,114,5,72,15,22
"Census Tract 6606, Cook County, Illinois",165,84,52,24,8,0,81,9,42,30,0
"Census Tract 6607, Cook County, Illinois",44,32,9,0,21,2,12,0,12,0,0
"Census Tract 6608, Cook County, Illinois",134,64,0,47,17,0,70,8,12,9,41
"Census Tract 6609, Cook County, Illinois",198,100,0,60,14,26,98,8,6,26,58
"Census Tract 6610, Cook County, Illinois",69,42,0,0,0,42,27,0,12,15,0
"Census Tract 6611, Cook County, Illinois",250,142,36,39,34,33,108,40,25,27,16
"Census Tract 6701, Cook County, Illinois",21,0,0,0,0,0,21,0,0,12,9
"Census Tract 6702, Cook County, Illinois",0,0,0,0,0,0,0,0,0,0,0
"Census Tract 6703, Cook County, Illinois",30,15,0,0,15,0,15,0,15,0,0
"Census Tract 6704, Cook County, Illinois",35,15,0,0,15,0,20,0,20,0,0
"Census Tract 6705, Cook County, Illinois",10,0,0,0,0,0,10,0,10,0,0
"Census Tract 6706, Cook County, Illinois",0,0,0,0,0,0,0,0,0,0,0
"Census Tract 6707, Cook County, Illinois",10,0,0,0,0,0,10,0,0,1,9
"Census Tract 6708, Cook County, Illinois",0,0,0,0,0,0,0,0,0,0,0
"Census Tract 6709, Cook County, Illinois",0,0,0,0,0,0,0,0,0,0,0
"Census Tract 6711, Cook County, Illinois",5,5,0,0,5,0,0,0,0,0,0
"Census Tract 6712, Cook County, Illinois",0,0,0,0,0,0,0,0,0,0,0
"Census Tract 6713, Cook County, Illinois",1,1,0,1,0,0,0,0,0,0,0
"Census Tract 6714, Cook County, Illinois",0,0,0,0,0,0,0,0,0,0,0
"Census Tract 6715, Cook County, Illinois",15,14,0,2,12,0,1,0,0,0,1
"Census Tract 6716, Cook County, Illinois",26,26,6,10,5,5,0,0,0,0,0
"Census Tract 6718, Cook County, Illinois",0,0,0,0,0,0,0,0,0,0,0
"Census Tract 6719, Cook County, Illinois",0,0,0,0,0,0,0,0,0,0,0
"Census Tract 6720, Cook County, Illinois",25,18,2,16,0,0,7,5,2,0,0
"Census Tract 6805, Cook County, Illinois",10,0,0,0,0,0,10,10,0,0,0
"Census Tract 6806, Cook County, Illinois",36,36,18,0,18,0,0,0,0,0,0
"Census Tract 6809, Cook County, Illinois",6,6,5,0,0,1,0,0,0,0,0
"Census Tract 6810, Cook County, Illinois",25,24,1,0,0,23,1,0,1,0,0
"Census Tract 6811, Cook County, Illinois",14,4,1,1,1,1,10,2,3,1,4
"Census Tract 6812, Cook County, Illinois",0,0,0,0,0,0,0,0,0,0,0
"Census Tract 6813, Cook County, Illinois",0,0,0,0,0,0,0,0,0,0,0
"Census Tract 6814, Cook County, Illinois",0,0,0,0,0,0,0,0,0,0,0
"Census Tract 6903, Cook County, Illinois",196,44,7,16,14,7,152,49,48,48,7
"Census Tract 6904, Cook County, Illinois",21,10,0,0,10,0,11,0,0,11,0
"Census Tract 6905, Cook County, Illinois",0,0,0,0,0,0,0,0,0,0,0
"Census Tract 6909, Cook County, Illinois",0,0,0,0,0,0,0,0,0,0,0
"Census Tract 6910, Cook County, Illinois",22,21,0,0,20,1,1,0,1,0,0
"Census Tract 6911, Cook County, Illinois",20,20,0,1,10,9,0,0,0,0,0
"Census Tract 6912, Cook County, Illinois",81,31,0,0,31,0,50,0,20,0,30
"Census Tract 6913, Cook County, Illinois",5,5,0,0,0,5,0,0,0,0,0
"Census Tract 6914, Cook County, Illinois",0,0,0,0,0,0,0,0,0,0,0
"Census Tract 6915, Cook County, Illinois",14,7,0,0,7,0,7,0,0,7,0
"Census Tract 7001, Cook County, Illinois",205,78,10,29,19,20,127,18,48,21,40
"Census Tract 7002, Cook County, Illinois",813,326,39,129,92,66,487,74,164,190,59
"Census Tract 7003.01, Cook County, Illinois",1203,559,56,270,130,103,644,134,286,138,86
"Census Tract 7003.02, Cook County, Illinois",1533,748,59,197,260,232,785,93,224,252,216
"Census Tract 7004.01, Cook County, Illinois",712,417,11,103,162,141,295,0,178,37,80
"Census Tract 7004.02, Cook County, Illinois",300,122,7,33,59,23,178,9,78,53,38
"Census Tract 7005.01, Cook County, Illinois",426,256,81,111,52,12,170,44,89,37,0
"Census Tract 7005.02, Cook County, Illinois",110,65,0,0,22,43,45,0,4,30,11
"Census Tract 7101, Cook County, Illinois",0,0,0,0,0,0,0,0,0,0,0
"Census Tract 7102, Cook County, Illinois",59,31,0,6,17,8,28,0,11,17,0
"Census Tract 7103, Cook County, Illinois",0,0,0,0,0,0,0,0,0,0,0
"Census Tract 7104, Cook County, Illinois",30,14,0,0,0,14,16,0,16,0,0
"Census Tract 7105, Cook County, Illinois",18,18,0,18,0,0,0,0,0,0,0
